Model,Hyperparameters,Training MAE,Validation MAE,Test MAE,Training RMSE,Validation RMSE,Test RMSE,Training R2,Validation R2,Test R2,Test MAPE (%),Training Time (s)
Linear Regression,"{""alpha"": 10.0}",3.868,4.711,5.114,4.835,5.979,6.319,0.522,0.2694,-0.0613,6.48,5.913
Decision Tree,"{""max_depth"": 4, ""min_samples_split"": 2}",4.05,4.697,4.895,5.071,5.954,6.216,0.4741,0.2754,-0.0269,6.27,0.359
Random Forest,"{""max_depth"": 6, ""min_samples_split"": 2, ""n_estimators"": 100}",3.559,4.611,4.798,4.418,5.768,5.979,0.6008,0.3201,0.0498,6.1,5.427
Gradient Boosting,"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100}",3.726,4.877,5.637,4.646,6.107,6.942,0.5586,0.2379,-0.2809,7.08,2.975
XGBoost,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 50}",3.739,4.784,5.115,4.672,5.982,6.353,0.5537,0.2687,-0.0729,6.46,1.29
